miya	1		　それから春になってチュンセは学校も六年でさがってしまいました。チュンセはもう働いているのです。春に、くるみの木がみんな青い房のようなものを下げているでしょう。その下にしゃがんで、チュンセはキャベジの床をつくっていました。そしたら土の中から一ぴきのうすい緑いろの小さな蛙がよろよろと這って出て来ました。
miya	1		「うん、どうもあぶないと僕も思った。こっちは止そう。とってしまおう。その辺へかくしておいてあとで我われがとったということにしてお嬢さんにでも上げればいいじゃないか。そのほうが安全だよ。」というのがはっきり聞えました。私たちはまた顔を見合せました。
miya	1		　赤狐は扉をしめて云ひました。僕はあのいつか公爵の子供が着て居た赤い上着なら見たいなあと仔牛は思ひましたけれどももう狐がぐんぐん向ふへ行くもんですから仕方なくついて行きました。
akuta	0		　俊助は制服の隠しをさぐって、名刺を辰子の手へ渡した。渡す時向うの手を見ると、青玉を入れた金の指環が、細っそりとその小指を繞っていた。俊助はそれもまた美しいと思った。
akuta	0		　最後に小泉孤松の書いた「農家義人伝」の中の一篇によれば、平四郎は伝吉の牽いていた馬に泥田へ蹴落されたと云うことである。（註三）
miya	1		　里の方のものなら麻もつくったけれども、小十郎のとこではわずか藤つるで編む入れ物の外に布にするようなものはなんにも出来なかったのだ。小十郎はしばらくたってからまるでしわがれたような声で言ったもんだ。
akuta	0		　僕等は四人とも笑い出した。そこへ向うからながらみ取りが二人、（ながらみと言うのは螺の一種である。）魚籃をぶら下げて歩いて来た。彼等は二人とも赤褌をしめた、筋骨の逞しい男だった。が、潮に濡れ光った姿はもの哀れと言うよりも見すぼらしかった。Ｎさんは彼等とすれ違う時、ちょっと彼等の挨拶に答え、「風呂にお出で」と声をかけたりした。
miya	1		　おりるのか。仕方ない。木がめまぐるしいぞ。「一人落ぢればみんな落ぢるぞ。」誰かうしろで叫んでゐる。落ちて来たら全くみんな落ちる。大内がずうっと落ちた。
akuta	0		　江東橋を渡った向うもやはりバラックばかりである。僕は円タクの窓越しに赤さびをふいたトタン屋根だのペンキ塗りの板目だのを見ながら確か明治四十三年にあった大水のことを思い出した。今日の本所は火事には会っても、洪水には会うことはないであろう。が、その時の大水は僕の記憶に残っているのでは一番の高いものだった。江東橋界隈の人々の第三中学校へ避難したのもやはりこの大水のあった時である。僕は江東橋を越えるにも一面に漲った泥水の中を泳いで行かなければならなかった……
akuta	0		「いいえ、轢かれてしまってからも、夢の中ではちゃんと生きているの。ただ体は滅茶滅茶になって眉毛だけ線路に残っているのだけれども、……やっぱりこの二三日洋食の食べかたばかり気にしていたせいね。」
akuta	0		　僕等は親友のやうに肩を並べ、静かに話してゐる外国人たちの中を僕の部屋へ帰つて行つた。彼は僕の部屋へ来ると、鏡を後ろにして腰をおろした。それからいろいろのことを話し出した。いろいろのことを？――しかし大抵は女の話だつた。僕は罪を犯した為に地獄に堕ちた一人に違ひなかつた。が、それだけに悪徳の話は愈僕を憂欝にした。僕は一時的清教徒になり、それ等の女を嘲り出した。
miya	1		　野鼠はいかにも疲れたらしく、目をとろんとして、はぁあとため息をついて、それに何だか大へん憤って出て来ましたが、いきなり小さなゴム靴をカン蛙の前に投げ出しました。
akuta	0		　僕の家には祖父の代からお狸様というものを祀っていた。それは赤い布団にのった一対の狸の土偶だった。僕はこのお狸様にも何か恐怖を感じていた。お狸様を祀ることはどういう因縁によったものか、父や母さえも知らないらしい。しかしいまだに僕の家には薄暗い納戸の隅の棚にお狸様の宮を設け、夜は必ずその宮の前に小さい蝋燭をともしている。
miya	1		　と思つたら、もう次から次から、たくさんのきいろな底をもつたりんだうの花のコツプが、湧くやうに、雨のやうに、眼の前を通り、三角標の列は、けむるやうに燃えるやうに、いよいよ光つて立つたのです。
akuta	0		　其処へ何も知らない乳母は、年の若い女房たちと、銚子や高坏を運んで来た。古い池に枝垂れた桜も、蕾を持つた事を話しながら。……
akuta	0		「予は父母を愛する能はず。否、愛する能はざるに非ず。父母その人は愛すれども、父母の外見を愛する能はず。貌を以て人を取るは君子の恥づる所也。況や父母の貌を云々するをや。然れども予は如何にするも父母の外見を愛する能はず。……」
miya	1		　寒さにいきはむねに白く凍りました。空気がうすくなった為に、はねをそれはそれはせわしくうごかさなければなりませんでした。
akuta	0		　使　あなたがたを！　（首を振りながら）どうもわたしには受け合われません。またひどい目に会うのは嫌ですから、誰かほかのものにお頼みなさい。
miya	1		　百姓どもははっとして、息を殺して象を見た。オツベルは云ってしまってから、にわかにがたがた顫え出す。ところが象はけろりとして
akuta	0		　老人は言葉を続けながら、径ばたの薔薇の花をむしると、嬉しそうにその匂を嗅いだ。が、薔薇はむしられた跡にも、ちゃんとその花が残っていた。ただ老人の手にある花は色や形は同じに見えても、どこか霧のように煙っていた。
akuta	0		　その内に往来の人影は、見る見る数を加え出した。と同時に騒がしい叫び声も、いつか憎悪を孕んで居る険悪な調子を帯び始めた。
akuta	0		「私の占いは擲銭卜と云います。擲銭卜は昔の京房が、始めて筮に代えて行ったとある。御承知でもあろうが、筮と云う物は、一爻に三変の次第があり、一卦に十八変の法があるから、容易に吉凶を判じ難い。そこはこの擲銭卜の長所でな、……」
akuta	0		　時刻は彼是真夜中にも近かつたでございませう。林泉をつゝんだ暗がひつそりと声を呑んで、一同のする息を窺つてゐると思ふ中には、唯かすかな夜風の渡る音がして、松明の煙がその度に煤臭い匂を送つて参ります。大殿様は暫く黙つて、この不思議な景色をぢつと眺めていらつしやいましたが、やがて膝を御進めになりますと、
akuta	0		　ソロモンはこう歌いながら、大きい竪琴を掻き鳴らした。のみならず絶えず涙を流した。彼の歌は彼に似げない激越の調べを漲らせていた。妃たちや家来たちはいずれも顔を見合せたりした。が、誰もソロモンにこの歌の意味を尋ねるものはなかった。ソロモンはやっと歌い終ると、王冠を頂いた頭を垂れ、暫くはじっと目を閉じていた。それから、――それから急に笑顔を挙げ、妃たちや家来たちとふだんのように話し出した。
miya	1		「天の川の水あかりに、十日もつるして置くかね、そうでなけぁ、砂に三四日うずめなけぁいけないんだ。そうすると、水銀がみんな蒸発して、喰べられるようになるよ。」
miya	1		「はい、誠にお気の毒でございますが、当地方には、毒蛾がひどく発生して居りまして、夕刻からは窓をあけられませんのでございます。只今、扇風機を運んで参ります。」と云ったのでした。
akuta	0		　トレンズの訳本は、在来のもののやうに英仏臭味を帯びないもので、其の点では一歩を進めたものであるが、訳者が十分原語に通暁してゐなかつたし、殊に埃及やシリヤの方言などを全く知らなかつた為に、憾むらくは所期の点に達し得なかつた。而も十分の一位で中絶して居るのは、甚だ惜むべきことである。
miya	1		　西の方の遠くの空でさっきまで一生けん命啼いていたひばりがこの時風に流されて羽を変にかしげながら二人のそばに降りて来たのでした。
miya	1		　ははあ、この子供がくさびをはめない方がいゝと云ったのは車輪が下で寄さってこの橋を通れるといふのだな、ハーシュはひとりで考へて笑ひました。
miya	1		（まあ地図をお見せなさい。お掛けなさい。）嘉吉は自分も前に居たので地図は明るかった。学生は地図を渡しながら云われた通りしきいに腰掛けてしまった。おみちはすぐ台所の方へ立って行って手早く餅や海藻とささげを煮た膳をこしらえて来て、
akuta	0		　そうしたら、呼笛が鳴って、写真が消えてしまったんだ。あとは白い幕ばかりさ。お徳の奴の文句が好い、――「みんな消えてしまったんです。消えて儚くなりにけりか。どうせ何でもそうしたもんね。」
akuta	0		　杜子春は一日の内に、洛陽の都でも唯一人といふ大金持になりました。あの老人の言葉通り、夕日に影を映して見て、その頭に当る所を、夜中にそつと掘つて見たら、大きな車にも余る位、黄金が一山出て来たのです。
akuta	0		　成程その男のはいっている穴では蛇口の水が細い滝になって、絶えず坊主頭の上へ流れ落ちていた。が、その男の青ざめた顔には、ただ空間を見つめている、どんよりした眼があるだけで、何の表情も浮んではいなかった。俊助は無気味を通り越して、不快な心もちに脅かされ出した。
akuta	0		　その時、はじめて樗牛に接した自分は、あの名文からはなはだよくない印象を受けた。というのは、中学生たる自分にとって、どうも樗牛はうそつきだという気がしたのである。
akuta	0		　近松の俊寛は源平盛衰記の俊寛よりも、遙かに偉い人になつてゐる。勿論を見送る時には、嘆き悲しむのに相違ない。しかしその後は近松の俊寛も、安らかに余生を送つたかも知れぬ。少くとも盛衰記の俊寛程、悲しい末期には遇はなかつたであらう。――さう云ふ心もちを与へる限り、「苦しまざる俊寛」を書いたものは、夙に近松にあつたと云ふべきである。
miya	1		「一体これはどうしたのだ。中生代に来てしまったのか。中生代がこっちの方へやって来たのか。ああ、どっちでもおんなじことだ。とにかくあすこに雷竜が居て、こっちさえ見ればかけて来る。大学士も魚も同じことだ。見るなよ、見るなよ。僕はいま、ごくこっそりと戻るから。どうかしばらく、こっちを向いちゃいけないよ。」
miya	1		　次の朝ブドリはまた主人と沼ばたけへ行ってみました。主人は水の中から葉を一枚とってしきりにしらべていましたが、やっぱり浮かない顔でした。その次の日もそうでした。その次の日もそうでした。その次の日もそうでした。その次の朝、とうとう主人は決心したように言いました。
